Faculty,Position,Gender,Management,DBLP,Area,Links with Pid,Links_XML
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks,https://dblp.uni-trier.de/pid/66/549.html,https://dblp.uni-trier.de/pid/66/549.xml
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics,https://dblp.org/pid/15/3108.html,https://dblp.org/pid/15/3108.xml
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture,https://dblp.org/pid/99/4535.html,https://dblp.org/pid/99/4535.xml
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems,https://dblp.org/pid/d/AnwitamanDatta.html,https://dblp.org/pid/d/AnwitamanDatta.xml
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pers/k/Khan:Arijit.html,Data Management,https://dblp.org/pid/67/2933.html,https://dblp.org/pid/67/2933.xml
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture,https://dblp.org/pid/73/1708.html,https://dblp.org/pid/73/1708.xml
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML,https://dblp.org/pid/42/6178-1.html,https://dblp.org/pid/42/6178-1.xml
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision,https://dblp.org/pid/83/6096.html,https://dblp.org/pid/83/6096.xml
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems,https://dblp.org/pid/83/3179.html,https://dblp.org/pid/83/3179.xml
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision,https://dblp.uni-trier.de/pid/29/3808.html,https://dblp.uni-trier.de/pid/29/3808.xml
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks,https://dblp.org/pid/80/2106.html,https://dblp.org/pid/80/2106.xml
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia,https://dblp.org/pid/05/2952.html,https://dblp.org/pid/05/2952.xml
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML,https://dblp.org/pid/c/ChngEngSiong.html,https://dblp.org/pid/c/ChngEngSiong.xml
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining,https://dblp.uni-trier.de/pid/33/3180.html,https://dblp.uni-trier.de/pid/33/3180.xml
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision,https://dblp.uni-trier.de/pid/95/3115.html,https://dblp.uni-trier.de/pid/95/3115.xml
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture,https://dblp.org/pid/63/6663.html,https://dblp.org/pid/63/6663.xml
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks,https://dblp.uni-trier.de/pid/76/440.html,https://dblp.uni-trier.de/pid/76/440.xml
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML,https://dblp.uni-trier.de/pid/80/7421.html,https://dblp.uni-trier.de/pid/80/7421.xml
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI,https://dblp.org/pid/97/6922.html,https://dblp.org/pid/97/6922.xml
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML,https://dblp.org/pid/95/7006.html,https://dblp.org/pid/95/7006.xml
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/h/He_0001:Ying,Computer Graphics,https://dblp.uni-trier.de/pid/h/YingHe1.html,https://dblp.uni-trier.de/pid/h/YingHe1.xml
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems,https://dblp.org/pid/61/3119.html,https://dblp.org/pid/61/3119.xml
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval,https://dblp.org/pid/65/3225.html,https://dblp.org/pid/65/3225.xml
Joty Shafiq Rayhan,Assistant Professor,M,N,https://dblp.org/pers/j/Joty:Shafiq_R=.html,AI/ML,https://dblp.org/pid/62/2078.html,https://dblp.org/pid/62/2078.xml
Ke Yiping Kelly,Assistant Professor,F,N,https://dblp.uni-trier.de/pers/k/Ke:Yiping.html,AI/ML,https://dblp.uni-trier.de/pid/07/3111.html,https://dblp.uni-trier.de/pid/07/3111.xml
Kong Wai-Kin Adams,Associate Professor,M,N,https://dblp.org/pers/k/Kong:Adams_Wai=Kin.html,Computer Vision,https://dblp.org/pid/16/3792.html,https://dblp.org/pid/16/3792.xml
Kwoh Chee Keong,Associate Professor,M,N,https://dblp.org/pid/32/228.html,Bioinformatics,https://dblp.org/pid/32/228.html,https://dblp.org/pid/32/228.xml
Lam Kwok Yan,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lam:Kwok=Yan.html,Cyber Security,https://dblp.uni-trier.de/pid/10/1993.html,https://dblp.uni-trier.de/pid/10/1993.xml
Lam Siew Kei,Assistant Professor,M,N,https://dblp.org/pers/l/Lam:Siew=Kei.html,Computer Architecture,https://dblp.org/pid/74/1907.html,https://dblp.org/pid/74/1907.xml
Lana Obraztsova ,Assistant Professor,F,N,https://dblp.org/pers/o/Obraztsova:Svetlana.html,AI/ML,https://dblp.org/pid/12/9925.html,https://dblp.org/pid/12/9925.xml
Lau Chiew Tong,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Lau:Chiew_Tong,Computer Networks,https://dblp.uni-trier.de/pid/30/6609.html,https://dblp.uni-trier.de/pid/30/6609.xml
Lee Bu Sung Francis,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Lee:Bu=Sung.html,Computer Networks,https://dblp.uni-trier.de/pid/l/BuSungLee.html,https://dblp.uni-trier.de/pid/l/BuSungLee.xml
Li Fang Flora,Senior Lecturer,F,N,https://dblp.org/pers/f/Fang:Li.html,Computer Vision,https://dblp.org/pid/32/3735.html,https://dblp.org/pid/32/3735.xml
Li Mo,Associate Professor,M,N,https://dblp.org/pers/hd/l/Li_0001:Mo,Computer Networks,https://dblp.org/pid/87/4982-1.html,https://dblp.org/pid/87/4982-1.xml
Li Yi,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Li_0008:Yi,Software Engg,https://dblp.uni-trier.de/pid/59/871-8.html,https://dblp.uni-trier.de/pid/59/871-8.xml
Liang Qianhui,Lecturer,F,N,https://dblp.uni-trier.de/pers/l/Liang:Qianhui_Althea.html,AI/ML,https://dblp.uni-trier.de/pid/a/QianhuiAltheaLiang.html,https://dblp.uni-trier.de/pid/a/QianhuiAltheaLiang.xml
Lin Feng,Associate Professor,M,N,https://dblp.org/pers/hd/l/Lin_0002:Feng,Bioinformatics,https://dblp.org/pid/75/2611-2.html,https://dblp.org/pid/75/2611-2.xml
Lin Guosheng,Assistant Professor,M,N,https://dblp.org/pers/l/Lin:Guosheng.html,Computer Vision,https://dblp.org/pid/126/4778.html,https://dblp.org/pid/126/4778.xml
Lin Shang-Wei,Assistant Professor,M,N,https://dblp.org/pid/55/4730-1.html,Software Engg,https://dblp.org/pid/55/4730-1.html,https://dblp.org/pid/55/4730-1.xml
Lin Weisi,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lin:Weisi.html,Multimedia,https://dblp.uni-trier.de/pid/14/3737.html,https://dblp.uni-trier.de/pid/14/3737.xml
Liu Weichen,Assistant Professor,M,N,https://dblp.org/pers/l/Liu:Weichen.html,Computer Architecture,https://dblp.org/pid/24/914.html,https://dblp.org/pid/24/914.xml
Liu Yang,Professor,M,N,https://dblp.org/pers/hd/l/Liu_0003:Yang,Software Engg,https://dblp.org/pid/51/3710-3.html,https://dblp.org/pid/51/3710-3.xml
Loke Yuan Ren,Lecturer,M,N,https://dblp.org/pers/l/Loke:Yuan_Ren.html,Computer Vision,https://dblp.org/pid/11/9550.html,https://dblp.org/pid/11/9550.xml
Long Cheng,Assistant Professor,M,N,https://dblp.org/pers/l/Long:Cheng.html,Data Mining,https://dblp.org/pid/58/10813.html,https://dblp.org/pid/58/10813.xml
Loy Chen Change,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Loy:Chen_Change.html,Computer Vision,https://dblp.uni-trier.de/pid/01/5855.html,https://dblp.uni-trier.de/pid/01/5855.xml
Lu Shijian,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/l/Lu:Shijian.html,Computer Vision,https://dblp.uni-trier.de/pid/42/2718.html,https://dblp.uni-trier.de/pid/42/2718.xml
Luo Jun,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Luo_0001:Jun,Computer Networks,https://dblp.uni-trier.de/pid/42/2501-1.html,https://dblp.uni-trier.de/pid/42/2501-1.xml
Mahardhika Pratama  ,Assistant Professor,M,N,https://dblp.org/pers/p/Pratama:Mahardhika.html,AI/ML,https://dblp.org/pid/55/9613.html,https://dblp.org/pid/55/9613.xml
Mohamed M. Sabry  ,Assistant Professor,M,N,https://dblp.org/pers/s/Sabry:Mohamed_M=.html,Computer Architecture,https://dblp.org/pid/74/5309.html,https://dblp.org/pid/74/5309.xml
Ng Wee Keong,Associate Professor,M,N,https://dblp.org/pers/n/Ng:Wee_Keong.html,Cyber Security,https://dblp.org/pid/n/WeeKeongNg.html,https://dblp.org/pid/n/WeeKeongNg.xml
Oh Hong Lye,Lecturer,M,N,https://dblp.org/pers/o/Oh:Hong_Lye.html,Computer Architecture,https://dblp.org/pid/224/9431.html,https://dblp.org/pid/224/9431.xml
Owen Noel Newton Fernando,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/f/Fernando:Owen_Noel_Newton.html,HCI,https://dblp.uni-trier.de/pid/84/2408.html,https://dblp.uni-trier.de/pid/84/2408.xml
Pan Sinno Jialin,Associate Professor,M,N,https://dblp.org/pers/p/Pan:Sinno_Jialin.html,AI/ML,https://dblp.org/pid/80/5412.html,https://dblp.org/pid/80/5412.xml
Qian Kemao,Associate Professor,M,N,https://dblp.org/pers/q/Qian:Kemao.html,Computer Vision,https://dblp.org/pid/78/6459.html,https://dblp.org/pid/78/6459.xml
Quek Hiok Chai,Associate Professor,M,N,https://dblp.org/pers/q/Quek:Hiok_Chai.html,AI/ML,https://dblp.org/pid/q/HiokChaiQuek.html,https://dblp.org/pid/q/HiokChaiQuek.xml
Rajapakse Jagath Chandana,Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajapakse:Jagath_C=.html,Bioinformatics,https://dblp.uni-trier.de/pid/91/665.html,https://dblp.uni-trier.de/pid/91/665.xml
Seah Hock Soon,Professor,M,Y,https://dblp.org/pers/s/Soon:Seah_Hock.html,Computer Graphics,https://dblp.org/pid/s/SeahHockSoon.html,https://dblp.org/pid/s/SeahHockSoon.xml
Smitha K G,Lecturer,F,N,https://dblp.uni-trier.de/pers/s/Smitha:Kavallur_Gopi.html,Computer Architecture,https://dblp.uni-trier.de/pid/73/4788.html,https://dblp.uni-trier.de/pid/73/4788.xml
Sourav S Bhowmick,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/b/Bhowmick:Sourav_S=,Data Management,https://dblp.uni-trier.de/pid/b/SSBhowmick.html,https://dblp.uni-trier.de/pid/b/SSBhowmick.xml
Sourav Sen Gupta,Lecturer,M,N,https://dblp.org/pers/g/Gupta:Sourav_Sen.html,Cyber Security,https://dblp.org/pid/41/8030.html,https://dblp.org/pid/41/8030.xml
Sun Aixin,Associate Professor,M,N,https://dblp.org/pers/s/Sun:Aixin.html,Information Retrieval,https://dblp.org/pid/78/5155.html,https://dblp.org/pid/78/5155.xml
Sun Chengzheng,Professor,M,N,https://dblp.org/pers/s/Sun:Chengzheng.html,HCI,https://dblp.org/pid/s/CZSun.html,https://dblp.org/pid/s/CZSun.xml
Tan Ah Hwee,Professor,M,Y,https://dblp.org/pers/t/Tan:Ah=Hwee.html,AI/ML,https://dblp.org/pid/38/3641.html,https://dblp.org/pid/38/3641.xml
Tan Kheng Leong,Lecturer,M,N,https://dblp.org/pers/hd/t/Tan:Kheng_Leong,Cyber Security,https://dblp.org/pid/242/0323.html,https://dblp.org/pid/242/0323.xml
Tan Rui,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/t/Tan:Rui.html,Computer Architecture,https://dblp.uni-trier.de/pid/00/5179.html,https://dblp.uni-trier.de/pid/00/5179.xml
Tang Xueyan,Associate Professor,M,N,https://dblp.org/pers/t/Tang:Xueyan.html,Distributed Systems,https://dblp.org/pid/23/2460.html,https://dblp.org/pid/23/2460.xml
Vun Chan Hua Nicholas,Associate Professor,M,N,https://dblp.org/pers/v/Vun:Nicholas_C=_H=.html,Computer Architecture,https://dblp.org/pid/69/8028.html,https://dblp.org/pid/69/8028.xml
Xavier Bresson,Associate Professor,M,N,https://dblp.uni-trier.de/pers/b/Bresson:Xavier.html,AI/ML,https://dblp.uni-trier.de/pid/95/378.html,https://dblp.uni-trier.de/pid/95/378.xml
Yeo Chai Kiat,Associate Professor,F,Y,https://dblp.org/pers/y/Yeo:Chai_Kiat.html,Computer Networks,https://dblp.org/pid/52/910.html,https://dblp.org/pid/52/910.xml
Yu Han,Assistant Professor,M,N,https://dblp.org/pers/hd/y/Yu_0001:Han,AI/ML,https://dblp.org/pid/35/1096-1.html,https://dblp.org/pid/35/1096-1.xml
Zhang Hanwang,Assistant Professor,M,N,https://dblp.org/pers/z/Zhang:Hanwang.html,Computer Vision,https://dblp.org/pid/79/8116.html,https://dblp.org/pid/79/8116.xml
Zhang Jie,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang_0002:Jie,AI/ML,https://dblp.uni-trier.de/pid/84/6889-2.html,https://dblp.uni-trier.de/pid/84/6889-2.xml
Zhao Jun,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/47/2026-7.html,Computer Networks,https://dblp.uni-trier.de/pid/47/2026-7.html,https://dblp.uni-trier.de/pid/47/2026-7.xml
Zheng Jianmin,Associate Professor,M,N,https://dblp.uni-trier.de/pers/z/Zheng:Jianmin.html,Computer Graphics,https://dblp.uni-trier.de/pid/09/5452.html,https://dblp.uni-trier.de/pid/09/5452.xml
Zinovi Rabinovich  ,Assistant Professor,M,N,https://dblp.org/pers/r/Rabinovich:Zinovi.html,AI/ML,https://dblp.org/pid/93/4009.html,https://dblp.org/pid/93/4009.xml
Miao Chunyan,Professor,F,Y,https://dblp.uni-trier.de/pers/m/Miao:Chunyan.html,AI/ML,https://dblp.uni-trier.de/pid/m/ChunyanMiao.html,https://dblp.uni-trier.de/pid/m/ChunyanMiao.xml
Thambipillai Srikanthan,Professor,M,Y,https://dblp.uni-trier.de/pers/s/Srikanthan:Thambipillai.html,Computer Architecture,https://dblp.uni-trier.de/pid/23/1694.html,https://dblp.uni-trier.de/pid/23/1694.xml
Ong Yew Soon,Professor,M,Y,https://dblp.uni-trier.de/pers/o/Ong:Yew=Soon.html,AI/ML,https://dblp.uni-trier.de/pid/64/4136.html,https://dblp.uni-trier.de/pid/64/4136.xml
Shen Zhiqi,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/s/Shen:Zhiqi,AI/ML,https://dblp.uni-trier.de/pid/03/1554.html,https://dblp.uni-trier.de/pid/03/1554.xml
Tay Kian Boon,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/t/Tan:Kian_Boon,Cyber Security,https://dblp.uni-trier.de/pid/36/9306.html,https://dblp.uni-trier.de/pid/36/9306.xml
Wen Yonggang,Professor,M,N,https://dblp.org/pid/33/885.html,Multimedia,https://dblp.org/pid/33/885.html,https://dblp.org/pid/33/885.xml
Zhang Tianwei,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang:Tianwei,Cyber Security,https://dblp.uni-trier.de/pid/77/7902.html,https://dblp.uni-trier.de/pid/77/7902.xml
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML,https://dblp.org/pid/70/1211.html,https://dblp.org/pid/70/1211.xml
Liu Zhiwei,Assistant Professor,M,N,https://dblp.org/pid/90/9499.html,Computer Vision,https://dblp.org/pid/90/9499.html,https://dblp.org/pid/90/9499.xml
Luu Anh Tuan,Assistant Professor,M,N,https://dblp.org/pid/81/8329.html,AI/ML,https://dblp.org/pid/81/8329.html,https://dblp.org/pid/81/8329.xml
