,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,A S Madhukumar,Associate Professor,M,N,Computer Networks,0,[],[],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],"['Dusit Niyato', 'Lau Chiew Tong']","['Lau Chiew Tong', 'Dusit Niyato']","['Dusit Niyato', 'Lau Chiew Tong']","['Lau Chiew Tong', 'Dusit Niyato']","['Lau Chiew Tong', 'Dusit Niyato']","['Lau Chiew Tong', 'Dusit Niyato']","['Lau Chiew Tong', 'Dusit Niyato']","['Lau Chiew Tong', 'Dusit Niyato']"
1,Alexei Sourin,Associate Professor,M,N,Computer Graphics,0,[],[],[],[],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon']
2,Anupam Chattopadhyay,Associate Professor,M,N,Computer Architecture,3,[],[],[],[],[],[],[],[],[],[],[],['Sourav Sen Gupta'],['Sourav Sen Gupta'],['Sourav Sen Gupta'],['Sourav Sen Gupta'],['Sourav Sen Gupta'],"['Thambipillai Srikanthan', 'Sourav Sen Gupta']","['Erik Cambria', 'Arvind Easwaran', 'Lam Kwok Yan', 'Sourav Sen Gupta', 'Thambipillai Srikanthan']","['Lam Kwok Yan', 'Sourav Sen Gupta', 'Arvind Easwaran', 'Thambipillai Srikanthan', 'Erik Cambria']","['Sourav Sen Gupta', 'Owen Noel Newton Fernando', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Erik Cambria', 'Arvind Easwaran', 'Lam Kwok Yan']","['Guan Cuntai', 'Arvind Easwaran', 'Sourav Sen Gupta', 'Thambipillai Srikanthan', 'Erik Cambria', 'Lam Kwok Yan', 'Owen Noel Newton Fernando', 'Seah Hock Soon']","['Sourav Sen Gupta', 'Thambipillai Srikanthan', 'Erik Cambria', 'Arvind Easwaran', 'Lam Kwok Yan', 'Owen Noel Newton Fernando', 'Seah Hock Soon', 'Guan Cuntai']"
3,Anwitaman Datta,Associate Professor,M,N,Distributed Systems,3,[],[],[],[],[],[],[],[],"['Ng Wee Keong', 'Sun Aixin']","['Sun Aixin', 'Ng Wee Keong']","['Sun Aixin', 'Ng Wee Keong']","['Sun Aixin', 'Ng Wee Keong']","['Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie', 'Ng Wee Keong']","['Sun Aixin', 'Ng Wee Keong', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']","['Ng Wee Keong', 'Sun Aixin', 'Lee Bu Sung Francis', 'Zhang Jie']"
4,Arijit Khan,Assistant Professor,M,N,Data Management,9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Sourav S Bhowmick'],"['Cong Gao', 'Sourav S Bhowmick']","['Sourav S Bhowmick', 'Cong Gao']","['Cong Gao', 'Sourav Sen Gupta', 'Sourav S Bhowmick']","['Sourav S Bhowmick', 'Cong Gao', 'Sourav Sen Gupta']"
5,Arvind Easwaran,Associate Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],"['Tan Rui', 'Anupam Chattopadhyay']","['Tan Rui', 'Anupam Chattopadhyay']","['Tan Rui', 'Anupam Chattopadhyay', 'Liu Zhiwei']","['Anupam Chattopadhyay', 'Tan Rui', 'Liu Zhiwei']"
6,Bo An,Associate Professor,M,N,AI/ML,4,[],[],[],[],[],"['Miao Chunyan', 'Shen Zhiqi']","['Miao Chunyan', 'Shen Zhiqi']","['Shen Zhiqi', 'Miao Chunyan']","['Miao Chunyan', 'Shen Zhiqi']","['Miao Chunyan', 'Shen Zhiqi']","['Miao Chunyan', 'Shen Zhiqi']","['Miao Chunyan', 'Shen Zhiqi']","['Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Zhang Jie']","['Miao Chunyan', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie']","['Zhang Jie', 'Miao Chunyan', 'Shen Zhiqi', 'Yu Han']","['Zhang Jie', 'Dusit Niyato', 'Miao Chunyan', 'Cong Gao', 'Shen Zhiqi', 'Yu Han']","['Miao Chunyan', 'Pan Sinno Jialin', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Dusit Niyato', 'Cong Gao']","['Zinovi Rabinovich', 'Miao Chunyan', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Dusit Niyato', 'Cong Gao', 'Pan Sinno Jialin']","['Zinovi Rabinovich', 'Miao Chunyan', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Dusit Niyato', 'Cong Gao', 'Pan Sinno Jialin']","['Lana Obraztsova ', 'Zinovi Rabinovich', 'Miao Chunyan', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Dusit Niyato', 'Cong Gao', 'Pan Sinno Jialin']"
7,Cai Jianfei,Professor,M,N,Computer Vision,24,[],[],[],[],['Chia Liang Tien Clement'],['Chia Liang Tien Clement'],"['Deepu Rajan', 'Chia Liang Tien Clement', 'Lee Bu Sung Francis']","['Zheng Jianmin', 'Lau Chiew Tong', 'Cham Tat Jen', 'Deepu Rajan', 'Chia Liang Tien Clement', 'Lee Bu Sung Francis']","['Lin Weisi', 'Zheng Jianmin', 'Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Cham Tat Jen']","['Lin Weisi', 'Zheng Jianmin', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cham Tat Jen']","['Zheng Jianmin', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cham Tat Jen', 'Lin Weisi']","['Zheng Jianmin', 'Dusit Niyato', 'Lin Weisi', 'Wen Yonggang', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cham Tat Jen']","['Zheng Jianmin', 'Lin Weisi', 'Wen Yonggang', 'Cham Tat Jen', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Dusit Niyato']","['Zheng Jianmin', 'Cham Tat Jen', 'Wen Yonggang', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato']","['Zheng Jianmin', 'Wen Yonggang', 'Lu Shijian', 'Cham Tat Jen', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato']","['Cham Tat Jen', 'Lin Weisi', 'Zheng Jianmin', 'Lu Shijian', 'Wen Yonggang', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Dusit Niyato']","['Lu Shijian', 'Zheng Jianmin', 'Cham Tat Jen', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato', 'Wen Yonggang']","['Ong Yew Soon', 'Wen Yonggang', 'Cham Tat Jen', 'Zheng Jianmin', 'Lu Shijian', 'Joty Shafiq Rayhan', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato']","['Ong Yew Soon', 'Zheng Jianmin', 'Cham Tat Jen', 'Wen Yonggang', 'Joty Shafiq Rayhan', 'Zhang Hanwang', 'Lin Guosheng', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato', 'Lu Shijian']","['Zheng Jianmin', 'Cham Tat Jen', 'Lin Guosheng', 'Ong Yew Soon', 'Zhang Hanwang', 'Joty Shafiq Rayhan', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato', 'Wen Yonggang', 'Lu Shijian']","['Joty Shafiq Rayhan', 'Zheng Jianmin', 'Cham Tat Jen', 'Ong Yew Soon', 'Lin Guosheng', 'Zhang Hanwang', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Lin Weisi', 'Dusit Niyato', 'Wen Yonggang', 'Lu Shijian']","['Ong Yew Soon', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Zheng Jianmin', 'Lau Chiew Tong', 'Cham Tat Jen', 'Lin Weisi', 'Dusit Niyato', 'Wen Yonggang', 'Lu Shijian', 'Joty Shafiq Rayhan', 'Zhang Hanwang', 'Lin Guosheng']"
8,Cai Wentong,Professor,M,Y,Distributed Systems,3,"['Lee Bu Sung Francis', 'Huang Shell Ying']","['Lee Bu Sung Francis', 'Huang Shell Ying']","['Lee Bu Sung Francis', 'Sun Chengzheng', 'Huang Shell Ying']","['Lee Bu Sung Francis', 'Ong Yew Soon', 'Huang Shell Ying', 'Sun Chengzheng']","['Lee Bu Sung Francis', 'Ong Yew Soon', 'Huang Shell Ying', 'Sun Chengzheng']","['Lee Bu Sung Francis', 'Ong Yew Soon', 'Huang Shell Ying', 'Sun Chengzheng']","['Lee Bu Sung Francis', 'Sun Chengzheng', 'Huang Shell Ying', 'Ong Yew Soon']","['Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon']","['Tang Xueyan', 'Seah Hock Soon', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon']","['Tang Xueyan', 'Ong Yew Soon', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Seah Hock Soon']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon']","['Tang Xueyan', 'Liu Yang', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon', 'Liu Yang']","['Tang Xueyan', 'Ong Yew Soon', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Seah Hock Soon', 'Liu Yang']","['Liu Yang', 'Ong Yew Soon', 'Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Seah Hock Soon']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon', 'Liu Yang']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon', 'Liu Yang']","['Tang Xueyan', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Ong Yew Soon', 'Seah Hock Soon', 'Liu Yang']","['Ong Yew Soon', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Sun Chengzheng', 'Tang Xueyan', 'Seah Hock Soon', 'Liu Yang']","['Tang Xueyan', 'Sun Chengzheng', 'Lee Bu Sung Francis', 'Huang Shell Ying', 'Ong Yew Soon', 'Seah Hock Soon', 'Liu Yang']"
9,Cham Tat Jen,Associate Professor,M,N,Computer Vision,8,[],[],[],[],[],[],[],"['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan']","['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan']","['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Yeo Chai Kiat', 'Cai Jianfei', 'Deepu Rajan']","['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan']","['Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Cai Jianfei', 'Zheng Jianmin', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Zheng Jianmin']","['Cai Jianfei', 'Zheng Jianmin', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Zheng Jianmin']","['Cai Jianfei', 'Zheng Jianmin', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Zheng Jianmin', 'Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Zheng Jianmin', 'Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Zheng Jianmin', 'Cai Jianfei', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Cai Jianfei', 'Deepu Rajan', 'Zheng Jianmin']"
10,Chan Syin,Associate Professor,F,N,Computer Networks,0,[],[],[],[],"['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Lau Chiew Tong', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan', 'Lau Chiew Tong']","['Chia Liang Tien Clement', 'Deepu Rajan', 'Lau Chiew Tong']","['Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Deepu Rajan']","['Chia Liang Tien Clement', 'Deepu Rajan', 'Lau Chiew Tong', 'Lee Bu Sung Francis']"
11,Chia Liang Tien Clement,Associate Professor,M,N,Multimedia,7,[],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],"['Deepu Rajan', 'Lee Bu Sung Francis']","['Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Deepu Rajan', 'Cai Jianfei']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Sourav S Bhowmick', 'Chan Syin', 'Cai Jianfei']","['Sourav S Bhowmick', 'Deepu Rajan', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Chan Syin']","['Sourav S Bhowmick', 'Chan Syin', 'Deepu Rajan', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Cai Jianfei', 'Lee Bu Sung Francis']","['Deepu Rajan', 'Chan Syin', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen']","['Deepu Rajan', 'Tan Ah Hwee', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Yeo Chai Kiat', 'Cham Tat Jen']","['Deepu Rajan', 'Tan Ah Hwee', 'Cham Tat Jen', 'Lin Weisi', 'Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Tan Ah Hwee', 'Lin Weisi', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen']","['Deepu Rajan', 'Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Quek Hiok Chai', 'Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi', 'Quek Hiok Chai']","['Lee Bu Sung Francis', 'Yeo Chai Kiat', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi', 'Quek Hiok Chai']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi', 'Quek Hiok Chai']","['Deepu Rajan', 'Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Cai Jianfei', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Tan Ah Hwee', 'Lin Weisi', 'Quek Hiok Chai']"
12,Chng Eng Siong,Associate Professor,M,N,AI/ML,0,[],[],[],[],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],"['Goh Wooi Boon', 'Guan Cuntai']","['Deepu Rajan', 'Guan Cuntai', 'Goh Wooi Boon']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan']","['Lee Bu Sung Francis', 'Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis']","['Erik Cambria', 'Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria']","['Shen Zhiqi', 'Miao Chunyan', 'Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria', 'Shen Zhiqi', 'Miao Chunyan']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria', 'Shen Zhiqi', 'Miao Chunyan']","['Sun Aixin', 'Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria', 'Shen Zhiqi', 'Miao Chunyan']","['Guan Cuntai', 'Goh Wooi Boon', 'Deepu Rajan', 'Lee Bu Sung Francis', 'Erik Cambria', 'Shen Zhiqi', 'Miao Chunyan', 'Sun Aixin']"
