,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Cong Gao,Professor,M,N,Data Mining,31,[],[],[],[],[],[],[],[],[],[],[],[],"['Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung']","['Sun Aixin', 'Seah Hock Soon', 'Miao Chunyan', 'Hui Siu Cheung']","['Sun Aixin', 'Sourav S Bhowmick', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon']","['Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon', 'Sourav S Bhowmick']","['Miao Chunyan', 'Sun Aixin', 'Sourav S Bhowmick', 'Hui Siu Cheung', 'Seah Hock Soon']","['Miao Chunyan', 'Sourav S Bhowmick', 'Bo An', 'Sun Aixin', 'Hui Siu Cheung', 'Seah Hock Soon']","['Sourav S Bhowmick', 'Sun Aixin', 'Joty Shafiq Rayhan', 'Arijit Khan', 'Long Cheng', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon', 'Bo An']","['Long Cheng', 'Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon', 'Sourav S Bhowmick', 'Bo An', 'Joty Shafiq Rayhan', 'Arijit Khan']","['Long Cheng', 'Sourav S Bhowmick', 'Arijit Khan', 'Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon', 'Bo An', 'Joty Shafiq Rayhan']","['Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung', 'Seah Hock Soon', 'Sourav S Bhowmick', 'Bo An', 'Joty Shafiq Rayhan', 'Arijit Khan', 'Long Cheng']"
14,Deepu Rajan,Associate Professor,M,N,Computer Vision,9,[],[],[],['Chia Liang Tien Clement'],"['Chia Liang Tien Clement', 'Chan Syin']","['Chia Liang Tien Clement', 'Chan Syin']","['Chia Liang Tien Clement', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Chan Syin']","['Chia Liang Tien Clement', 'Cham Tat Jen', 'Cai Jianfei', 'Chan Syin', 'Lee Bu Sung Francis']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen']","['Chia Liang Tien Clement', 'Tan Ah Hwee', 'Chng Eng Siong', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Lee Bu Sung Francis', 'Quek Hiok Chai', 'Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Quek Hiok Chai', 'Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Quek Hiok Chai', 'Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Lee Bu Sung Francis', 'Quek Hiok Chai', 'Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Quek Hiok Chai', 'Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong']","['Chia Liang Tien Clement', 'Chan Syin', 'Cai Jianfei', 'Lee Bu Sung Francis', 'Cham Tat Jen', 'Tan Ah Hwee', 'Chng Eng Siong', 'Quek Hiok Chai']"
15,Douglas Leslie Maskell,Associate Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],"['Thambipillai Srikanthan', 'Quek Hiok Chai']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']","['Thambipillai Srikanthan', 'Quek Hiok Chai', 'Goh Wooi Boon']"
16,Dusit Niyato,Professor,M,N,Computer Networks,0,[],[],[],[],[],[],[],[],[],['Lee Bu Sung Francis'],"['Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Lee Bu Sung Francis']","['Cai Jianfei', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei']","['Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei']","['Lee Bu Sung Francis', 'Wen Yonggang', 'Zhang Jie', 'A S Madhukumar', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei']","['Wen Yonggang', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei', 'Zhang Jie', 'A S Madhukumar']","['Zhang Jie', 'A S Madhukumar', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei', 'Wen Yonggang']","['Wen Yonggang', 'Bo An', 'Miao Chunyan', 'Zhang Jie', 'Luo Jun', 'Tan Rui', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Cai Jianfei', 'A S Madhukumar']","['Luo Jun', 'Tan Rui', 'Wen Yonggang', 'Zhao Jun', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei', 'Zhang Jie', 'A S Madhukumar', 'Bo An']","['Wen Yonggang', 'Luo Jun', 'Zhao Jun', 'Yu Han', 'Tan Rui', 'Miao Chunyan', 'Lam Kwok Yan', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Cai Jianfei', 'Zhang Jie', 'A S Madhukumar', 'Bo An']","['Miao Chunyan', 'Yu Han', 'Zhao Jun', 'Wen Yonggang', 'Lam Kwok Yan', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Cai Jianfei', 'Zhang Jie', 'A S Madhukumar', 'Bo An', 'Luo Jun', 'Tan Rui']","['Zhao Jun', 'Lam Kwok Yan', 'Tan Rui', 'Lee Bu Sung Francis', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Cai Jianfei', 'Wen Yonggang', 'Zhang Jie', 'A S Madhukumar', 'Bo An', 'Luo Jun']"
17,Erik Cambria,Associate Professor,M,N,AI/ML,3,[],[],[],[],[],[],[],[],[],[],[],[],[],['Ong Yew Soon'],['Ong Yew Soon'],"['Chng Eng Siong', 'Ong Yew Soon']","['Ong Yew Soon', 'Chng Eng Siong']","['Anupam Chattopadhyay', 'Sun Aixin', 'Ong Yew Soon', 'Chng Eng Siong']","['Rajapakse Jagath Chandana', 'Ong Yew Soon', 'Chng Eng Siong', 'Anupam Chattopadhyay', 'Sun Aixin']","['Ong Yew Soon', 'Chng Eng Siong', 'Anupam Chattopadhyay', 'Sun Aixin', 'Rajapakse Jagath Chandana']","['Ong Yew Soon', 'Chng Eng Siong', 'Anupam Chattopadhyay', 'Sun Aixin', 'Rajapakse Jagath Chandana']","['Ong Yew Soon', 'Chng Eng Siong', 'Anupam Chattopadhyay', 'Sun Aixin', 'Rajapakse Jagath Chandana']"
18,Goh Wooi Boon,Associate Professor,M,N,HCI,9,[],[],[],[],[],[],[],"['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas']","['Chng Eng Siong', 'Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Quek Hiok Chai', 'Guan Cuntai', 'Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong']","['Guan Cuntai', 'Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong', 'Quek Hiok Chai']","['Guan Cuntai', 'Tan Kheng Leong', 'Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong', 'Quek Hiok Chai']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong', 'Quek Hiok Chai', 'Guan Cuntai', 'Tan Kheng Leong']","['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas', 'Chng Eng Siong', 'Quek Hiok Chai', 'Guan Cuntai', 'Tan Kheng Leong']"
19,Guan Cuntai,Professor,M,N,AI/ML,0,[],[],[],[],['Chng Eng Siong'],['Chng Eng Siong'],['Chng Eng Siong'],['Chng Eng Siong'],"['Quek Hiok Chai', 'Lu Shijian', 'Chng Eng Siong']","['Lau Chiew Tong', 'Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian']","['Lau Chiew Tong', 'Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian']","['Quek Hiok Chai', 'Pan Sinno Jialin', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong']","['Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin']","['Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin']","['Quek Hiok Chai', 'Kwoh Chee Keong', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin']","['Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong']","['Chng Eng Siong', 'Quek Hiok Chai', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong']","['Goh Wooi Boon', 'Chng Eng Siong', 'Quek Hiok Chai', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong']","['Goh Wooi Boon', 'Chng Eng Siong', 'Quek Hiok Chai', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong']","['Goh Wooi Boon', 'Chng Eng Siong', 'Quek Hiok Chai', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong']","['Anupam Chattopadhyay', 'Quek Hiok Chai', 'Chng Eng Siong', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong', 'Goh Wooi Boon']","['Chng Eng Siong', 'Quek Hiok Chai', 'Lu Shijian', 'Lau Chiew Tong', 'Pan Sinno Jialin', 'Kwoh Chee Keong', 'Goh Wooi Boon', 'Anupam Chattopadhyay']"
20,He Ying,Associate Professor,M,N,Computer Graphics,10,[],[],[],[],[],[],[],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],"['Luo Jun', 'Seah Hock Soon']","['Seah Hock Soon', 'Luo Jun']","['Kwoh Chee Keong', 'Luo Jun', 'Miao Chunyan', 'Seah Hock Soon']","['Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong', 'Miao Chunyan']","['Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong', 'Miao Chunyan']","['Miao Chunyan', 'Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong']","['Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong', 'Miao Chunyan']","['Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong', 'Miao Chunyan']","['Zheng Jianmin', 'Luo Jun', 'Seah Hock Soon', 'Kwoh Chee Keong', 'Miao Chunyan']","['Seah Hock Soon', 'Luo Jun', 'Kwoh Chee Keong', 'Miao Chunyan', 'Zheng Jianmin']","['Seah Hock Soon', 'Luo Jun', 'Kwoh Chee Keong', 'Miao Chunyan', 'Zheng Jianmin']"
21,Huang Shell Ying,Senior Lecturer,F,N,Distributed Systems,0,['Cai Wentong'],['Cai Wentong'],['Cai Wentong'],['Cai Wentong'],"['Lee Bu Sung Francis', 'Cai Wentong']","['Cai Wentong', 'Lee Bu Sung Francis']","['Cai Wentong', 'Lee Bu Sung Francis']","['Cai Wentong', 'Lee Bu Sung Francis']","['Cai Wentong', 'Lee Bu Sung Francis']","['Cai Wentong', 'Lee Bu Sung Francis']","['Shen Zhiqi', 'Miao Chunyan', 'Cai Wentong', 'Lee Bu Sung Francis']","['Miao Chunyan', 'Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']","['Cai Wentong', 'Lee Bu Sung Francis', 'Shen Zhiqi', 'Miao Chunyan']"
22,Hui Siu Cheung,Associate Professor,M,N,Information Retrieval,6,['Yeo Chai Kiat'],"['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Cong Gao', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Luu Anh Tuan', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Luu Anh Tuan', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Luu Anh Tuan', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Luu Anh Tuan', 'Zhao Jun', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao']","['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao', 'Luu Anh Tuan', 'Zhao Jun']","['Luu Anh Tuan', 'Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cong Gao', 'Zhao Jun']"
23,Joty Shafiq Rayhan,Assistant Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cai Jianfei'],"['Cong Gao', 'Cai Jianfei', 'Sun Aixin']","['Cai Jianfei', 'Sourav S Bhowmick', 'Cong Gao', 'Sun Aixin']","['Cai Jianfei', 'Miao Chunyan', 'Cong Gao', 'Sun Aixin', 'Sourav S Bhowmick']","['Cai Jianfei', 'Cong Gao', 'Sun Aixin', 'Sourav S Bhowmick', 'Miao Chunyan']"
24,Ke Yiping Kelly,Assistant Professor,F,N,AI/ML,5,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon']
25,Kong Wai-Kin Adams,Associate Professor,M,N,Computer Vision,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Lam Kwok Yan'],"['Lam Kwok Yan', 'Tan Rui']","['Lam Kwok Yan', 'Tan Rui']","['Lam Kwok Yan', 'Tan Rui']"
26,Kwoh Chee Keong,Associate Professor,M,N,Bioinformatics,1,[],[],[],[],[],[],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],"['He Ying', 'Ong Yew Soon']","['Guan Cuntai', 'Ong Yew Soon', 'He Ying']","['Lin Weisi', 'Ong Yew Soon', 'He Ying', 'Guan Cuntai']","['Lin Weisi', 'Ong Yew Soon', 'He Ying', 'Guan Cuntai']","['Ong Yew Soon', 'He Ying', 'Guan Cuntai', 'Lin Weisi']","['Ong Yew Soon', 'He Ying', 'Guan Cuntai', 'Lin Weisi']","['Ong Yew Soon', 'He Ying', 'Guan Cuntai', 'Lin Weisi']","['Ong Yew Soon', 'He Ying', 'Guan Cuntai', 'Lin Weisi']","['Ong Yew Soon', 'He Ying', 'Guan Cuntai', 'Lin Weisi']"
27,Lam Kwok Yan,Professor,M,N,Cyber Security,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],"['Anupam Chattopadhyay', 'Kong Wai-Kin Adams', 'Sourav Sen Gupta']","['Kong Wai-Kin Adams', 'Zhao Jun', 'Dusit Niyato', 'Yu Han', 'Anupam Chattopadhyay', 'Sourav Sen Gupta']","['Kong Wai-Kin Adams', 'Dusit Niyato', 'Zhao Jun', 'Anupam Chattopadhyay', 'Sourav Sen Gupta', 'Yu Han']","['Zhao Jun', 'Dusit Niyato', 'Ng Wee Keong', 'Anupam Chattopadhyay', 'Kong Wai-Kin Adams', 'Sourav Sen Gupta', 'Yu Han']"
28,Lam Siew Kei,Assistant Professor,M,N,Computer Architecture,2,['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan']
29,Lana Obraztsova ,Assistant Professor,F,N,AI/ML,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],"['Zinovi Rabinovich', 'Bo An']"
