,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Yeo Chai Kiat,Associate Professor,F,Y,Computer Networks,0,"['Lee Bu Sung Francis', 'Hui Siu Cheung']","['Hui Siu Cheung', 'Lee Bu Sung Francis', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Hui Siu Cheung', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Hui Siu Cheung', 'Lau Chiew Tong']","['Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Cham Tat Jen', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Tang Xueyan', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Lau Chiew Tong', 'Hui Siu Cheung', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Lau Chiew Tong', 'Hui Siu Cheung', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Lee Bu Sung Francis', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Oh Hong Lye', 'Hui Siu Cheung', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen']","['Hui Siu Cheung', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Lau Chiew Tong', 'Tang Xueyan', 'Cham Tat Jen', 'Vun Chan Hua Nicholas', 'Oh Hong Lye']","['Lee Bu Sung Francis', 'Loy Chen Change', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen', 'Vun Chan Hua Nicholas', 'Oh Hong Lye']","['Hui Siu Cheung', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cham Tat Jen', 'Vun Chan Hua Nicholas', 'Oh Hong Lye', 'Loy Chen Change']"
69,Yu Han,Assistant Professor,M,N,AI/ML,2,[],[],[],[],[],[],[],"['Shen Zhiqi', 'Miao Chunyan']","['Shen Zhiqi', 'Miao Chunyan']","['Shen Zhiqi', 'Miao Chunyan', 'Boyang Li']","['Shen Zhiqi', 'Miao Chunyan', 'Dusit Niyato', 'Boyang Li']","['Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee', 'Boyang Li', 'Dusit Niyato']","['Shen Zhiqi', 'Miao Chunyan', 'Bo An', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee']","['Shen Zhiqi', 'Miao Chunyan', 'Bo An', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee']","['Shen Zhiqi', 'Miao Chunyan', 'Bo An', 'Zhang Jie', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee']","['Miao Chunyan', 'Zhang Jie', 'Shen Zhiqi', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee', 'Bo An']","['Miao Chunyan', 'Shen Zhiqi', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie']","['Shen Zhiqi', 'Miao Chunyan', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie']","['Shen Zhiqi', 'Miao Chunyan', 'Wen Yonggang', 'Boyang Li', 'Dusit Niyato', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie']","['Miao Chunyan', 'Dusit Niyato', 'Shen Zhiqi', 'Zhao Jun', 'Lam Kwok Yan', 'Boyang Li', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie', 'Wen Yonggang']","['Miao Chunyan', 'Dusit Niyato', 'Shen Zhiqi', 'Zhao Jun', 'Boyang Li', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie', 'Wen Yonggang', 'Lam Kwok Yan']","['Boyang Li', 'Miao Chunyan', 'Shen Zhiqi', 'Dusit Niyato', 'Tan Ah Hwee', 'Bo An', 'Zhang Jie', 'Wen Yonggang', 'Zhao Jun', 'Lam Kwok Yan']"
70,Zhang Hanwang,Assistant Professor,M,N,Computer Vision,48,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cai Jianfei'],"['Cai Jianfei', 'Miao Chunyan']","['Miao Chunyan', 'Liu Weichen', 'Cai Jianfei']","['Cai Jianfei', 'Miao Chunyan', 'Liu Weichen']"
71,Zhang Jie,Associate Professor,M,N,AI/ML,3,[],[],[],[],[],[],[],[],[],[],[],"['Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong']","['Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Miao Chunyan']","['Ong Yew Soon', 'Miao Chunyan', 'Ng Wee Keong', 'Anwitaman Datta']","['Miao Chunyan', 'Ong Yew Soon', 'Yu Han', 'Bo An', 'Liu Yang', 'Dusit Niyato', 'Ng Wee Keong', 'Anwitaman Datta']","['Liu Yang', 'Ong Yew Soon', 'Miao Chunyan', 'Yu Han', 'Ng Wee Keong', 'Anwitaman Datta', 'Bo An', 'Dusit Niyato']","['Bo An', 'Liu Yang', 'Dusit Niyato', 'Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han']","['Bo An', 'Dusit Niyato', 'Liu Yang', 'Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han']","['Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han', 'Bo An', 'Liu Yang', 'Dusit Niyato']","['Liu Yang', 'Mahardhika Pratama', 'Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han', 'Bo An', 'Dusit Niyato']","['Liu Yang', 'Mahardhika Pratama', 'Ong Yew Soon', 'Miao Chunyan', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han', 'Bo An', 'Dusit Niyato']","['Miao Chunyan', 'Ong Yew Soon', 'Ng Wee Keong', 'Anwitaman Datta', 'Yu Han', 'Bo An', 'Liu Yang', 'Dusit Niyato', 'Mahardhika Pratama']"
72,Zhao Jun,Assistant Professor,M,N,Computer Networks,3,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Dusit Niyato'],"['Dusit Niyato', 'Hui Siu Cheung', 'Li Mo', 'Sourav S Bhowmick', 'Tan Rui', 'Lam Kwok Yan', 'Yu Han']","['Dusit Niyato', 'Yu Han', 'Lam Kwok Yan', 'Hui Siu Cheung', 'Li Mo', 'Sourav S Bhowmick', 'Tan Rui']","['Lam Kwok Yan', 'Dusit Niyato', 'Tan Rui', 'Hui Siu Cheung', 'Li Mo', 'Sourav S Bhowmick', 'Yu Han']"
73,Zheng Jianmin,Associate Professor,M,N,Computer Graphics,5,[],[],[],[],[],['Seah Hock Soon'],['Seah Hock Soon'],"['Cai Jianfei', 'Seah Hock Soon']","['Cai Jianfei', 'Seah Hock Soon']","['Cai Jianfei', 'Seah Hock Soon']","['Cai Jianfei', 'Seah Hock Soon']","['Cai Jianfei', 'Lin Weisi', 'Seah Hock Soon']","['Cai Jianfei', 'Seah Hock Soon', 'Lin Weisi']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon', 'Lin Weisi']","['Cai Jianfei', 'Seah Hock Soon', 'Lin Weisi', 'Cham Tat Jen']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon', 'Lin Weisi']","['Cai Jianfei', 'Lu Shijian', 'Seah Hock Soon', 'Lin Weisi', 'Cham Tat Jen']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon', 'Lin Weisi', 'Lu Shijian']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon', 'Lin Weisi', 'Lu Shijian']","['He Ying', 'Seah Hock Soon', 'Cai Jianfei', 'Cham Tat Jen', 'Lin Weisi', 'Lu Shijian']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon', 'Lin Weisi', 'Lu Shijian', 'He Ying']","['Seah Hock Soon', 'Cai Jianfei', 'Lin Weisi', 'Cham Tat Jen', 'Lu Shijian', 'He Ying']"
74,Zinovi Rabinovich,Assistant Professor,M,N,AI/ML,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Lana Obraztsova '],['Lana Obraztsova '],['Lana Obraztsova '],['Lana Obraztsova '],['Lana Obraztsova '],"['Lana Obraztsova ', 'Bo An']","['Bo An', 'Lana Obraztsova ']","['Lana Obraztsova ', 'Bo An']"
75,Miao Chunyan,Professor,F,Y,AI/ML,9,['Shen Zhiqi'],['Shen Zhiqi'],['Shen Zhiqi'],['Shen Zhiqi'],['Shen Zhiqi'],"['Bo An', 'Shen Zhiqi']","['Shen Zhiqi', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis']","['Bo An', 'Shen Zhiqi', 'Tan Ah Hwee', 'Yu Han', 'Lee Bu Sung Francis']","['Yu Han', 'Shen Zhiqi', 'Lee Bu Sung Francis', 'Tan Ah Hwee', 'Bo An']","['Shen Zhiqi', 'Lee Bu Sung Francis', 'Yu Han', 'Tan Ah Hwee', 'Boyang Li', 'Bo An']","['Tan Ah Hwee', 'Shen Zhiqi', 'Boyang Li', 'Yu Han', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Bo An', 'Lee Bu Sung Francis']","['Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Tan Ah Hwee', 'Huang Shell Ying', 'Bo An', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Ong Yew Soon']","['Shen Zhiqi', 'Tan Ah Hwee', 'Ong Yew Soon', 'Yu Han', 'Bo An', 'Cong Gao', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Zhang Jie']","['Yu Han', 'Shen Zhiqi', 'Bo An', 'He Ying', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'Cong Gao']","['Zhang Jie', 'Yu Han', 'Shen Zhiqi', 'Bo An', 'Sun Aixin', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Cong Gao', 'He Ying']","['Yu Han', 'Zhang Jie', 'Shen Zhiqi', 'Bo An', 'Tan Ah Hwee', 'Sun Aixin', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Cong Gao', 'He Ying']","['He Ying', 'Yu Han', 'Shen Zhiqi', 'Cong Gao', 'Bo An', 'Tan Ah Hwee', 'Sourav S Bhowmick', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'Sun Aixin']","['Yu Han', 'Shen Zhiqi', 'Bo An', 'Dusit Niyato', 'Cong Gao', 'Tan Ah Hwee', 'Chng Eng Siong', 'Wen Yonggang', 'Quek Hiok Chai', 'Lee Bu Sung Francis', 'Boyang Li', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'He Ying', 'Sun Aixin', 'Sourav S Bhowmick']","['Quek Hiok Chai', 'Tan Ah Hwee', 'Shen Zhiqi', 'Yu Han', 'Lee Bu Sung Francis', 'Bo An', 'Pan Sinno Jialin', 'Ong Yew Soon', 'Wen Yonggang', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Zhang Jie', 'Cong Gao', 'He Ying', 'Sun Aixin', 'Sourav S Bhowmick', 'Chng Eng Siong']","['Tan Ah Hwee', 'Yu Han', 'Pan Sinno Jialin', 'Shen Zhiqi', 'Zhang Hanwang', 'Dusit Niyato', 'Bo An', 'Lee Bu Sung Francis', 'Boyang Li', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'Cong Gao', 'He Ying', 'Sun Aixin', 'Sourav S Bhowmick', 'Chng Eng Siong', 'Wen Yonggang', 'Quek Hiok Chai']","['Yu Han', 'Dusit Niyato', 'Tan Ah Hwee', 'Shen Zhiqi', 'Zhang Hanwang', 'Lin Guosheng', 'Joty Shafiq Rayhan', 'Boyang Li', 'Bo An', 'Lee Bu Sung Francis', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'Cong Gao', 'He Ying', 'Sun Aixin', 'Sourav S Bhowmick', 'Chng Eng Siong', 'Wen Yonggang', 'Quek Hiok Chai', 'Pan Sinno Jialin']","['Pan Sinno Jialin', 'Boyang Li', 'Yu Han', 'Shen Zhiqi', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying', 'Zhang Jie', 'Cong Gao', 'He Ying', 'Sun Aixin', 'Sourav S Bhowmick', 'Chng Eng Siong', 'Wen Yonggang', 'Quek Hiok Chai', 'Zhang Hanwang', 'Lin Guosheng', 'Joty Shafiq Rayhan']"
76,Thambipillai Srikanthan,Professor,M,Y,Computer Architecture,0,['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],"['Lam Siew Kei', 'Douglas Leslie Maskell']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Lin Weisi', 'Douglas Leslie Maskell', 'Goh Wooi Boon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi']","['Lam Siew Kei', 'Anupam Chattopadhyay', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi']","['Lam Siew Kei', 'Seah Hock Soon', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi', 'Anupam Chattopadhyay']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi', 'Anupam Chattopadhyay', 'Seah Hock Soon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi', 'Anupam Chattopadhyay', 'Seah Hock Soon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi', 'Anupam Chattopadhyay', 'Seah Hock Soon']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Lin Weisi', 'Anupam Chattopadhyay', 'Seah Hock Soon']"
77,Ong Yew Soon,Professor,M,Y,AI/ML,3,[],[],[],['Cai Wentong'],"['Lee Bu Sung Francis', 'Cai Wentong']","['Cai Wentong', 'Lee Bu Sung Francis']","['Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Cai Wentong']","['Lee Bu Sung Francis', 'Cai Wentong', 'Kwoh Chee Keong']","['Tan Ah Hwee', 'Boyang Li', 'Kwoh Chee Keong', 'Cai Wentong', 'Lee Bu Sung Francis']","['Kwoh Chee Keong', 'Cai Wentong', 'Lee Bu Sung Francis', 'Tan Ah Hwee', 'Boyang Li']","['Tan Ah Hwee', 'Kwoh Chee Keong', 'Miao Chunyan', 'Cai Wentong', 'Lee Bu Sung Francis', 'Boyang Li']","['Tan Ah Hwee', 'Cai Wentong', 'Zhang Jie', 'Kwoh Chee Keong', 'Lee Bu Sung Francis', 'Boyang Li', 'Miao Chunyan']","['Kwoh Chee Keong', 'Zhang Jie', 'Tan Ah Hwee', 'Miao Chunyan', 'Cai Wentong', 'Lee Bu Sung Francis', 'Boyang Li']","['Kwoh Chee Keong', 'Erik Cambria', 'Tan Ah Hwee', 'Zhang Jie', 'Wen Yonggang', 'Cai Wentong', 'Lee Bu Sung Francis', 'Boyang Li', 'Miao Chunyan']","['Zhang Jie', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Erik Cambria', 'Wen Yonggang']","['Wen Yonggang', 'Tan Ah Hwee', 'Zhang Jie', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Boyang Li', 'Miao Chunyan', 'Erik Cambria']","['Erik Cambria', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Zhang Jie', 'Wen Yonggang']","['Cai Jianfei', 'Ke Yiping Kelly', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Zhang Jie', 'Erik Cambria', 'Wen Yonggang']","['Wen Yonggang', 'Cai Jianfei', 'Miao Chunyan', 'Ke Yiping Kelly', 'Liu Yang', 'Mahardhika Pratama', 'Sourav Sen Gupta', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Zhang Jie', 'Erik Cambria']","['Cai Jianfei', 'Mahardhika Pratama', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Zhang Jie', 'Erik Cambria', 'Wen Yonggang', 'Ke Yiping Kelly', 'Liu Yang', 'Sourav Sen Gupta']","['Mahardhika Pratama', 'Erik Cambria', 'Cai Jianfei', 'Cai Wentong', 'Zhang Jie', 'Ke Yiping Kelly', 'Loy Chen Change', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Wen Yonggang', 'Liu Yang', 'Sourav Sen Gupta']","['Cai Jianfei', 'Cai Wentong', 'Lee Bu Sung Francis', 'Kwoh Chee Keong', 'Tan Ah Hwee', 'Boyang Li', 'Miao Chunyan', 'Zhang Jie', 'Erik Cambria', 'Wen Yonggang', 'Ke Yiping Kelly', 'Liu Yang', 'Mahardhika Pratama', 'Sourav Sen Gupta', 'Loy Chen Change']"
78,Shen Zhiqi,Senior Lecturer,M,N,AI/ML,7,['Miao Chunyan'],['Miao Chunyan'],['Miao Chunyan'],['Miao Chunyan'],['Miao Chunyan'],"['Bo An', 'Miao Chunyan']","['Miao Chunyan', 'Bo An', 'Tan Ah Hwee']","['Bo An', 'Miao Chunyan', 'Tan Ah Hwee', 'Yu Han']","['Yu Han', 'Miao Chunyan', 'Tan Ah Hwee', 'Bo An']","['Miao Chunyan', 'Lee Bu Sung Francis', 'Yu Han', 'Tan Ah Hwee', 'Boyang Li', 'Bo An']","['Miao Chunyan', 'Tan Ah Hwee', 'Boyang Li', 'Yu Han', 'Dusit Niyato', 'Huang Shell Ying', 'Bo An', 'Lee Bu Sung Francis']","['Miao Chunyan', 'Yu Han', 'Tan Ah Hwee', 'Bo An', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Miao Chunyan', 'Yu Han', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Boyang Li', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Dusit Niyato', 'Huang Shell Ying']","['Miao Chunyan', 'Yu Han', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Yu Han', 'Miao Chunyan', 'Chng Eng Siong', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Chng Eng Siong']","['Miao Chunyan', 'Yu Han', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Chng Eng Siong']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Chng Eng Siong']","['Miao Chunyan', 'Bo An', 'Tan Ah Hwee', 'Yu Han', 'Lee Bu Sung Francis', 'Boyang Li', 'Dusit Niyato', 'Huang Shell Ying', 'Chng Eng Siong']"
79,Tay Kian Boon,Senior Lecturer,M,N,Cyber Security,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
80,Wen Yonggang,Professor,M,N,Multimedia,12,[],[],[],[],[],[],[],[],[],[],[],['Cai Jianfei'],"['Cai Jianfei', 'Ng Wee Keong']","['Ong Yew Soon', 'Cai Jianfei', 'Ng Wee Keong']","['Cai Jianfei', 'Dusit Niyato', 'Ng Wee Keong', 'Ong Yew Soon']","['Dusit Niyato', 'Ong Yew Soon', 'Cai Jianfei', 'Ng Wee Keong']","['Lin Weisi', 'Cai Jianfei', 'Ng Wee Keong', 'Ong Yew Soon', 'Dusit Niyato']","['Dusit Niyato', 'Cai Jianfei', 'Miao Chunyan', 'Ng Wee Keong', 'Ong Yew Soon', 'Lin Weisi']","['Ong Yew Soon', 'Cai Jianfei', 'Yu Han', 'Miao Chunyan', 'Dusit Niyato', 'Ng Wee Keong', 'Lin Weisi']","['Dusit Niyato', 'Tan Rui', 'Cai Jianfei', 'Ng Wee Keong', 'Ong Yew Soon', 'Lin Weisi', 'Miao Chunyan', 'Yu Han']","['Tan Rui', 'Dusit Niyato', 'Zhang Tianwei', 'Cai Jianfei', 'Ng Wee Keong', 'Ong Yew Soon', 'Lin Weisi', 'Miao Chunyan', 'Yu Han']","['Cai Jianfei', 'Ng Wee Keong', 'Ong Yew Soon', 'Dusit Niyato', 'Lin Weisi', 'Miao Chunyan', 'Yu Han', 'Tan Rui', 'Zhang Tianwei']"
81,Zhang Tianwei,Assistant Professor,M,N,Cyber Security,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Liu Yang', 'Wen Yonggang']","['Liu Yang', 'Wen Yonggang']"
82,Boyang Li,Associate Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],['Ong Yew Soon'],"['Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Ong Yew Soon']","['Miao Chunyan', 'Tan Ah Hwee', 'Shen Zhiqi', 'Ong Yew Soon', 'Yu Han']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Yu Han', 'Shen Zhiqi', 'Ong Yew Soon', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Tan Ah Hwee']","['Miao Chunyan', 'Ong Yew Soon', 'Yu Han', 'Shen Zhiqi', 'Tan Ah Hwee']","['Yu Han', 'Miao Chunyan', 'Ong Yew Soon', 'Shen Zhiqi', 'Tan Ah Hwee']"
83,Liu Zhiwei,Assistant Professor,M,N,Computer Vision,4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Arvind Easwaran'],['Arvind Easwaran']
84,Luu Anh Tuan,Assistant Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],"['Hui Siu Cheung', 'Liu Yang']","['Hui Siu Cheung', 'Liu Yang']","['Hui Siu Cheung', 'Liu Yang']","['Hui Siu Cheung', 'Liu Yang']","['Liu Yang', 'Hui Siu Cheung']","['Hui Siu Cheung', 'Liu Yang']"
